id,version,data,bool,ip_address
1,0.6.9,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,55.133.243.115
2,3.83,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,215.134.199.143
3,6.65,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,158.64.213.194
4,3.1.0,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,14.251.128.38
5,7.5.8,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,31.201.206.249
6,4.3.7,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,142.220.228.106
7,8.6,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,38.19.83.145
8,0.20,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,21.248.185.123
13,2.1.4,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,77.219.90.105
14,0.7.3,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,95.54.218.183
15,5.6,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,103.255.139.57
16,4.6,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,181.134.230.186
17,1.61,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,194.115.150.246
18,3.4,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,192.235.1.223
19,3.04,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,244.251.127.200
20,2.4.0,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,226.213.193.22
21,4.9,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,101.147.147.237
22,4.40,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,187.49.67.149
23,0.73,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,90.61.131.65
24,0.79,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,223.221.42.161
25,2.8,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,231.145.38.246
26,0.28,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,249.138.228.31
27,0.8.4,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,157.129.82.221
28,0.1.5,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,45.174.61.98
29,0.3.6,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,121.1.198.8
30,0.89,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,226.117.52.103
31,0.1.1,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,113.117.40.247
32,4.63,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,166.52.195.199
33,4.46,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,55.199.218.129
34,0.46,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,115.36.73.152
35,0.51,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,201.21.254.54
36,0.4.9,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,141.26.5.104
37,0.72,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,154.96.63.134
38,1.6,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,164.73.38.95
39,4.5,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,185.83.208.84
40,0.49,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,105.50.193.20
41,0.4.6,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,76.116.185.109
42,7.3.6,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,65.206.125.18
43,6.0,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,159.14.88.112
44,0.64,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,193.106.22.71
45,8.50,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,236.247.41.75
46,9.38,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,140.43.50.85
47,2.4,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,141.60.126.176
48,0.1.8,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,229.226.214.239
49,3.8.4,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,187.185.188.10
50,7.06,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,31.141.118.72
51,8.11,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,180.231.69.52
52,0.38,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,86.123.198.174
53,0.7.8,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,14.233.194.98
54,0.95,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,197.85.207.126
55,2.4,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,219.3.148.114
56,3.2.4,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,181.230.89.152
57,8.6,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,116.139.30.52
58,2.0.8,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,12.26.38.71
59,0.7.3,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,205.15.103.239
60,6.6.7,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,186.145.255.225
61,9.0.1,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,227.249.149.223
62,2.8,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,101.96.154.7
63,8.8.5,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,8.147.146.236
64,9.0,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,9.240.237.249
65,5.2.5,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,false,239.9.85.38
66,4.19,bb7c81d4ad6a6060bccef2374062dc0f0e2e4c8a,true,174.224.188.75
67,2.95,a262c971c87b656d581c1d87356f24695187fa89,false,189.188.136.16
68,0.67,a262c971c87b656d581c1d87356f24695187fa89,true,245.155.67.154
69,0.73,a262c971c87b656d581c1d87356f24695187fa89,false,41.91.202.140
70,8.2.5,a262c971c87b656d581c1d87356f24695187fa89,true,204.140.195.126
71,0.9.5,a262c971c87b656d581c1d87356f24695187fa89,false,106.216.60.222
72,5.10,a262c971c87b656d581c1d87356f24695187fa89,true,197.172.26.120
73,1.24,a262c971c87b656d581c1d87356f24695187fa89,true,63.95.211.19
74,1.5.5,a262c971c87b656d581c1d87356f24695187fa89,true,105.97.60.229
75,3.84,a262c971c87b656d581c1d87356f24695187fa89,true,188.83.71.103
76,0.6.2,a262c971c87b656d581c1d87356f24695187fa89,false,22.77.252.220
77,0.3.1,a262c971c87b656d581c1d87356f24695187fa89,true,123.120.169.175
78,5.2.5,a262c971c87b656d581c1d87356f24695187fa89,false,39.50.88.165
79,2.5,a262c971c87b656d581c1d87356f24695187fa89,true,88.197.129.3
80,2.2.4,a262c971c87b656d581c1d87356f24695187fa89,true,188.133.63.70
81,0.7.2,a262c971c87b656d581c1d87356f24695187fa89,true,153.57.186.10
82,0.82,a262c971c87b656d581c1d87356f24695187fa89,true,160.198.97.83
83,3.9.2,a262c971c87b656d581c1d87356f24695187fa89,false,130.187.125.196
84,7.14,a262c971c87b656d581c1d87356f24695187fa89,false,158.149.224.153
85,3.7,a262c971c87b656d581c1d87356f24695187fa89,false,144.11.62.135
86,5.3.8,a262c971c87b656d581c1d87356f24695187fa89,true,117.212.207.150
87,6.0.5,a262c971c87b656d581c1d87356f24695187fa89,false,74.175.170.136
88,3.7,a262c971c87b656d581c1d87356f24695187fa89,true,156.235.222.192
89,6.9,a262c971c87b656d581c1d87356f24695187fa89,true,250.83.29.239
90,5.45,a262c971c87b656d581c1d87356f24695187fa89,false,100.193.185.126
91,0.60,a262c971c87b656d581c1d87356f24695187fa89,false,119.226.225.114
92,6.7,a262c971c87b656d581c1d87356f24695187fa89,false,167.20.158.112
93,7.85,a262c971c87b656d581c1d87356f24695187fa89,false,20.36.107.191
94,9.7,a262c971c87b656d581c1d87356f24695187fa89,false,30.190.206.203
95,4.13,a262c971c87b656d581c1d87356f24695187fa89,true,251.232.14.54
96,0.6.1,a262c971c87b656d581c1d87356f24695187fa89,true,126.202.200.242
97,3.5,a262c971c87b656d581c1d87356f24695187fa89,true,122.164.199.114
98,4.2.8,a262c971c87b656d581c1d87356f24695187fa89,true,191.60.105.183
99,0.47,a262c971c87b656d581c1d87356f24695187fa89,true,145.141.88.45
100,1.4,a262c971c87b656d581c1d87356f24695187fa89,false,183.109.53.245
101,8.08,a262c971c87b656d581c1d87356f24695187fa89,false,152.234.198.63
102,1.6,a262c971c87b656d581c1d87356f24695187fa89,true,56.182.26.183
103,8.5,a262c971c87b656d581c1d87356f24695187fa89,false,181.216.132.55
104,0.94,a262c971c87b656d581c1d87356f24695187fa89,true,202.29.235.90
105,5.3.1,a262c971c87b656d581c1d87356f24695187fa89,false,160.205.253.207
106,0.1.2,a262c971c87b656d581c1d87356f24695187fa89,false,241.205.148.230
107,0.9.2,a262c971c87b656d581c1d87356f24695187fa89,false,47.76.125.93
108,6.7.8,a262c971c87b656d581c1d87356f24695187fa89,false,152.127.204.248
109,4.0.9,a262c971c87b656d581c1d87356f24695187fa89,false,202.230.241.254
110,8.8,a262c971c87b656d581c1d87356f24695187fa89,false,117.165.128.56
111,7.26,a262c971c87b656d581c1d87356f24695187fa89,false,143.86.87.207
112,3.1,a262c971c87b656d581c1d87356f24695187fa89,false,197.170.39.2
113,2.4.3,a262c971c87b656d581c1d87356f24695187fa89,false,109.70.34.225
114,0.17,a262c971c87b656d581c1d87356f24695187fa89,false,117.144.241.220
115,7.6,a262c971c87b656d581c1d87356f24695187fa89,false,255.93.249.99
116,0.7.0,a262c971c87b656d581c1d87356f24695187fa89,false,12.44.209.54
117,2.7.6,a262c971c87b656d581c1d87356f24695187fa89,false,166.34.63.132
118,0.32,a262c971c87b656d581c1d87356f24695187fa89,true,2.25.1.86
119,0.38,a262c971c87b656d581c1d87356f24695187fa89,true,77.24.166.252
120,0.1.5,a262c971c87b656d581c1d87356f24695187fa89,true,237.125.145.45
121,0.2.9,a262c971c87b656d581c1d87356f24695187fa89,true,80.98.76.76
122,8.4,a262c971c87b656d581c1d87356f24695187fa89,false,76.247.37.51
123,6.04,a262c971c87b656d581c1d87356f24695187fa89,true,135.173.67.168
124,0.20,a262c971c87b656d581c1d87356f24695187fa89,true,27.74.168.179
125,7.5,a262c971c87b656d581c1d87356f24695187fa89,true,36.165.174.36
126,0.79,a262c971c87b656d581c1d87356f24695187fa89,false,21.175.138.244
127,0.41,a262c971c87b656d581c1d87356f24695187fa89,false,170.148.182.79
128,0.3.0,a262c971c87b656d581c1d87356f24695187fa89,true,255.200.206.190
129,0.80,a262c971c87b656d581c1d87356f24695187fa89,true,47.226.168.166
130,2.6,a262c971c87b656d581c1d87356f24695187fa89,false,167.238.143.190
131,0.5.0,a262c971c87b656d581c1d87356f24695187fa89,false,203.21.200.156
132,0.97,a262c971c87b656d581c1d87356f24695187fa89,false,206.27.157.9
133,0.1.9,a262c971c87b656d581c1d87356f24695187fa89,true,12.105.122.193
134,6.83,a262c971c87b656d581c1d87356f24695187fa89,false,197.222.151.153
135,0.3.0,a262c971c87b656d581c1d87356f24695187fa89,false,40.212.148.254
136,0.52,a262c971c87b656d581c1d87356f24695187fa89,true,168.229.122.10
137,0.6.9,a262c971c87b656d581c1d87356f24695187fa89,false,123.93.25.149
138,5.4.0,a262c971c87b656d581c1d87356f24695187fa89,true,212.117.30.9
139,8.9.0,a262c971c87b656d581c1d87356f24695187fa89,false,111.175.242.152
140,4.0.6,a262c971c87b656d581c1d87356f24695187fa89,false,248.159.147.111
141,0.86,a262c971c87b656d581c1d87356f24695187fa89,true,20.8.104.133
142,0.25,a262c971c87b656d581c1d87356f24695187fa89,true,231.90.50.88
143,0.7.0,a262c971c87b656d581c1d87356f24695187fa89,true,252.89.30.32
144,5.1,a262c971c87b656d581c1d87356f24695187fa89,true,240.82.71.232
145,0.16,a262c971c87b656d581c1d87356f24695187fa89,true,226.101.1.234
146,5.9.8,a262c971c87b656d581c1d87356f24695187fa89,true,60.204.139.233
147,4.6,a262c971c87b656d581c1d87356f24695187fa89,false,157.202.202.230
148,0.9.2,a262c971c87b656d581c1d87356f24695187fa89,true,191.31.31.90
149,0.4.9,a262c971c87b656d581c1d87356f24695187fa89,false,101.95.18.104
150,0.23,a262c971c87b656d581c1d87356f24695187fa89,false,165.239.82.134
151,8.9,a262c971c87b656d581c1d87356f24695187fa89,true,219.245.201.92
152,7.38,a262c971c87b656d581c1d87356f24695187fa89,true,253.176.29.104
153,1.5,a262c971c87b656d581c1d87356f24695187fa89,false,217.132.18.249
154,1.0,a262c971c87b656d581c1d87356f24695187fa89,false,251.47.218.144
155,2.68,a262c971c87b656d581c1d87356f24695187fa89,true,240.209.150.252
156,7.2.3,a262c971c87b656d581c1d87356f24695187fa89,true,255.230.188.40
157,3.43,a262c971c87b656d581c1d87356f24695187fa89,false,207.14.228.182
158,3.1,a262c971c87b656d581c1d87356f24695187fa89,true,0.20.146.55
159,5.8.3,a262c971c87b656d581c1d87356f24695187fa89,true,180.156.12.226
160,9.28,a262c971c87b656d581c1d87356f24695187fa89,true,131.178.30.122
161,0.80,a262c971c87b656d581c1d87356f24695187fa89,true,120.134.47.101
162,7.68,a262c971c87b656d581c1d87356f24695187fa89,false,43.25.101.210
163,4.7,a262c971c87b656d581c1d87356f24695187fa89,true,181.136.221.143
164,9.75,a262c971c87b656d581c1d87356f24695187fa89,true,74.244.113.130
165,0.57,a262c971c87b656d581c1d87356f24695187fa89,true,129.231.38.242
166,0.9.9,a262c971c87b656d581c1d87356f24695187fa89,true,188.157.109.146
167,5.2,a262c971c87b656d581c1d87356f24695187fa89,true,18.152.174.136
168,9.6.5,a262c971c87b656d581c1d87356f24695187fa89,true,90.172.121.233
169,6.6.2,a262c971c87b656d581c1d87356f24695187fa89,false,204.188.159.208
170,4.4.2,a262c971c87b656d581c1d87356f24695187fa89,false,188.190.170.222
171,4.3,a262c971c87b656d581c1d87356f24695187fa89,true,207.148.21.252
179,7.75,a262c971c87b656d581c1d87356f24695187fa89,false,11.170.116.169
180,5.6,a262c971c87b656d581c1d87356f24695187fa89,false,122.57.227.151
181,1.6.3,a262c971c87b656d581c1d87356f24695187fa89,true,91.231.233.87
182,0.7.1,a262c971c87b656d581c1d87356f24695187fa89,false,117.74.215.191
183,0.7.9,a262c971c87b656d581c1d87356f24695187fa89,false,6.82.122.13
184,5.47,a262c971c87b656d581c1d87356f24695187fa89,true,189.99.166.196
185,0.92,a262c971c87b656d581c1d87356f24695187fa89,false,218.226.81.34
186,0.69,a262c971c87b656d581c1d87356f24695187fa89,false,225.137.202.90
187,0.13,a262c971c87b656d581c1d87356f24695187fa89,true,231.60.219.215
188,9.53,a262c971c87b656d581c1d87356f24695187fa89,true,165.81.67.121
189,0.75,a262c971c87b656d581c1d87356f24695187fa89,false,163.147.96.116
190,4.12,a262c971c87b656d581c1d87356f24695187fa89,false,31.18.41.140
191,1.95,a262c971c87b656d581c1d87356f24695187fa89,true,195.86.8.246
192,0.3.6,a262c971c87b656d581c1d87356f24695187fa89,false,242.87.85.192
193,5.5.2,a262c971c87b656d581c1d87356f24695187fa89,false,161.242.85.70
194,3.5,a262c971c87b656d581c1d87356f24695187fa89,true,22.180.237.144
195,0.6.2,a262c971c87b656d581c1d87356f24695187fa89,true,151.128.74.2
196,0.97,a262c971c87b656d581c1d87356f24695187fa89,false,103.68.192.23
197,3.1.3,a262c971c87b656d581c1d87356f24695187fa89,true,176.32.248.255
198,0.12,a262c971c87b656d581c1d87356f24695187fa89,true,214.39.209.55
199,0.8.2,a262c971c87b656d581c1d87356f24695187fa89,false,61.44.228.128
200,4.2,a262c971c87b656d581c1d87356f24695187fa89,false,35.150.253.178
201,4.6,a262c971c87b656d581c1d87356f24695187fa89,true,87.18.174.5
202,0.65,a262c971c87b656d581c1d87356f24695187fa89,false,221.142.77.83
203,4.67,a262c971c87b656d581c1d87356f24695187fa89,true,242.215.50.172
204,8.2,a262c971c87b656d581c1d87356f24695187fa89,true,219.211.27.125
205,9.9.3,a262c971c87b656d581c1d87356f24695187fa89,false,69.213.203.71
206,5.0.7,a262c971c87b656d581c1d87356f24695187fa89,false,41.51.62.161
207,0.9.1,a262c971c87b656d581c1d87356f24695187fa89,false,76.243.26.6
208,0.7.7,a262c971c87b656d581c1d87356f24695187fa89,false,226.160.238.226
209,0.62,a262c971c87b656d581c1d87356f24695187fa89,true,144.215.227.112
210,2.47,a262c971c87b656d581c1d87356f24695187fa89,false,228.248.145.205
211,2.6,a262c971c87b656d581c1d87356f24695187fa89,true,81.208.247.87
212,8.7,a262c971c87b656d581c1d87356f24695187fa89,true,120.117.31.118
213,9.9.5,a262c971c87b656d581c1d87356f24695187fa89,false,165.179.89.192
214,4.32,a262c971c87b656d581c1d87356f24695187fa89,false,55.20.20.105
215,8.38,a262c971c87b656d581c1d87356f24695187fa89,true,25.74.195.80
216,0.71,a262c971c87b656d581c1d87356f24695187fa89,false,0.140.183.149
